UlamCoefficients 256
         22348774 function calls (22196635 primitive calls) in 18.339 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   18.339   18.339 <string>:1(<module>)
     6492    0.010    0.000    0.017    0.000 Abstract_Ulam_Sequence.py:113(__ge__)
  1730559    0.637    0.000    0.637    0.000 Abstract_Ulam_Sequence.py:13(__init__)
   891052    0.617    0.000    0.941    0.000 Abstract_Ulam_Sequence.py:133(next)
   832935    0.611    0.000    0.921    0.000 Abstract_Ulam_Sequence.py:137(previous)
     6388    0.006    0.000    0.008    0.000 Abstract_Ulam_Sequence.py:141(__add__)
      104    0.000    0.000    0.000    0.000 Abstract_Ulam_Sequence.py:147(__rmul__)
  2849764    1.514    0.000    2.068    0.000 Abstract_Ulam_Sequence.py:161(update_guess)
     3118    0.002    0.000    0.003    0.000 Abstract_Ulam_Sequence.py:164(update_exclusions)
   343655    0.239    0.000    0.470    0.000 Abstract_Ulam_Sequence.py:188(__init__)
     5130    0.007    0.000    0.010    0.000 Abstract_Ulam_Sequence.py:21(__eq__)
     4947    0.003    0.000    0.013    0.000 Abstract_Ulam_Sequence.py:210(is_singleton)
     3160    0.006    0.000    0.030    0.000 Abstract_Ulam_Sequence.py:223(intersects)
     3160    0.019    0.000    0.099    0.000 Abstract_Ulam_Sequence.py:236(__add__)
       80    0.000    0.000    0.002    0.000 Abstract_Ulam_Sequence.py:265(add_to_itself)
   221594    0.626    0.000    2.144    0.000 Abstract_Ulam_Sequence.py:317(cut_out)
   763643    0.219    0.000    0.219    0.000 Abstract_Ulam_Sequence.py:338(__init__)
        1    0.000    0.000    0.000    0.000 Abstract_Ulam_Sequence.py:375(comparable_print)
   310829    1.478    0.000    6.170    0.000 Abstract_Ulam_Sequence.py:387(shuffle_in)
   310829    0.697    0.000    0.697    0.000 Abstract_Ulam_Sequence.py:393(<listcomp>)
   310829    0.644    0.000    0.644    0.000 Abstract_Ulam_Sequence.py:394(<listcomp>)
  2928900    3.656    0.000    6.064    0.000 Abstract_Ulam_Sequence.py:41(__lt__)
   439682    1.823    0.000   11.359    0.000 Abstract_Ulam_Sequence.py:436(cut_out)
   439682    0.741    0.000    0.741    0.000 Abstract_Ulam_Sequence.py:442(<listcomp>)
   439682    0.676    0.000    0.676    0.000 Abstract_Ulam_Sequence.py:443(<listcomp>)
     6652    0.011    0.000    0.029    0.000 Abstract_Ulam_Sequence.py:476(select_larger_than)
      171    0.001    0.000    0.001    0.000 Abstract_Ulam_Sequence.py:494(<listcomp>)
     9720    0.265    0.000    6.435    0.001 Abstract_Ulam_Sequence.py:507(__add__)
    12960    0.346    0.000   11.704    0.001 Abstract_Ulam_Sequence.py:519(__sub__)
     3240    0.007    0.000    5.096    0.002 Abstract_Ulam_Sequence.py:531(symmetric_difference)
       80    0.059    0.001   18.338    0.229 Abstract_Ulam_Sequence.py:567(extend_one_sequence)
       82    0.000    0.000    0.000    0.000 Abstract_Ulam_Sequence.py:61(less_than_wo_guess)
        1    0.000    0.000   18.339   18.339 Abstract_Ulam_Sequence.py:668(coeff_up_to)
        1    0.000    0.000   18.339   18.339 Abstract_Ulam_Sequence.py:680(UlamCoefficients)
     4486    0.007    0.000    0.012    0.000 Abstract_Ulam_Sequence.py:73(__le__)
   826106    0.652    0.000    0.987    0.000 Abstract_Ulam_Sequence.py:93(__gt__)
   750511    0.618    0.000    3.690    0.000 {built-in method _bisect.bisect_left}
   750682    0.510    0.000    2.880    0.000 {built-in method _bisect.bisect_right}
        1    0.000    0.000   18.339   18.339 {built-in method builtins.exec}
   572103    0.056    0.000    0.056    0.000 {built-in method builtins.len}
3110450/2958311    0.690    0.000    1.058    0.000 {built-in method builtins.max}
   200217    0.107    0.000    0.360    0.000 {built-in method builtins.min}
  2849764    0.687    0.000    0.687    0.000 {built-in method math.ceil}
     3118    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
   394861    0.087    0.000    0.087    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
     7351    0.004    0.000    0.004    0.000 {method 'insert' of 'list' objects}


