ulam_sequence 4 640000
         5037876 function calls in 774.632 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.022    0.022  774.632  774.632 <string>:1(<module>)
        2    0.000    0.000    0.007    0.004 cp1252.py:18(encode)
        1  753.220  753.220  773.429  773.429 ulam_sequence_set.py:19(ulam_sequence)
  1873611    0.713    0.000    0.951    0.000 ulam_sequence_set.py:8(add_remove_plus_truth)
        2    0.007    0.004    0.007    0.004 {built-in method _codecs.charmap_encode}
        1    0.000    0.000  774.632  774.632 {built-in method builtins.exec}
   202998   19.115    0.000   19.115    0.000 {built-in method builtins.min}
        1    1.174    1.174    1.181    1.181 {built-in method builtins.print}
  1873611    0.219    0.000    0.219    0.000 {method 'add' of 'set' objects}
   101498    0.020    0.000    0.020    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
   986149    0.142    0.000    0.142    0.000 {method 'remove' of 'set' objects}


